14652	animal remain	
1466	climate protection	
14663	chart (nautical)	
1467	climate resource	
14671	nature conservation policy	
1469	climate type	http://purl.obolibrary.org/obo/MESH_G03.230.300.100.250
1470	climatic alteration	
1471	climatic change	http://purl.obolibrary.org/obo/ExO_0000014
14717	environmental sanitation	
1473	climatic experiment	
1474	climatic factor	
1476	climatic zone	
1479	climatology	
148	aerobiology	
1480	climax	
1482	clinical symptom	
14835	green fiscal instrument	
14837	mining	http://purl.obolibrary.org/obo/ENVO_00000076
14845	indigenous knowledge	
14847	professional society	
14849	persistant organic pollutant	http://purl.obolibrary.org/obo/CHEBI_77853
14850	sediment mobilisation	
14851	habitat destruction	
14852	land-based activity	
14853	physical alteration	
14854	sectoral assessment	
14856	information infrastructure	
14857	geo-referenced information	
14858	data centre	
14859	internet service provider	
14860	electronic information network	
14861	wide area network	
14862	Internet	
14863	World Wide Web	
14864	homepage	
14865	hypertext	
14866	bulletin board system	
14867	newsgroup	
14868	electronic mail	
14869	multimedia technology	
14870	audio-visual presentation	
14871	information kit	
14872	exhibit	
14873	newsletter	
14874	radio programme	
14875	television programme	
14876	public relations	
14878	bibliographic information system	
14879	bibliographic information	
14880	referral information system	
14881	referral information	
14882	statistical information system	
14883	statistical information	
14884	library service	
